IC_NGC_key,Type,Coordinates,Constellation,Axis,PosAng,V-Mag,SurfBr,Hubble,M,Common names
IC 2572,G,10:25:07.28 +28:05:41.3,Leo Minor,0.90 0.43,26,,23.64,Sa,,
IC 2573,G,10:23:30.18 -35:27:20.1,Antlia,1.50 0.33,2,,23.66,SBcd,,
IC 2574,G,10:28:23.48 +68:24:43.7,Ursa Major,12.91 5.57,48,10.46,24.38,SABm,,Coddington's Nebula
IC 2575,G,10:25:24.00 -32:38:10.5,Antlia,0.63 0.58,55,,23.54,Sbc,,
IC 2576,G,10:25:58.98 -32:54:12.5,Antlia,0.94 0.63,42,,23.11,Sb,,
IC 2577,G,10:28:01.45 +32:45:50.0,Leo Minor,0.70 0.41,103,,23.09,Sb,,
IC 2578,G,10:27:22.69 -33:52:38.4,Antlia,1.51 0.35,143,,23.48,Sc,,
IC 2579,Dup,10:29:16.84 +26:05:57.3,Leo, ,,,,,,
IC 2580,G,10:28:17.98 -31:31:04.9,Antlia,2.05 1.75,128,12.72,23.54,Sc,,
IC 2581,OCl,10:27:29.15 -57:37:02.3,Carina,6,,4.3,,,,
IC 2582,G,10:29:11.00 -30:20:33.0,Antlia,1.29 1.25,150,12.91,22.89,Sbc,,
IC 2583,G,10:31:10.44 +26:03:18.2,Leo,0.59 0.49,124,,22.78,E,,
IC 2584,G,10:29:51.49 -34:54:41.9,Antlia,1.44 0.59,134,12.67,23.07,S0,,
IC 2585,Dup,10:30:26.49 -35:21:34.2,Antlia, ,,,,,,
IC 2586,G,10:31:02.40 -28:42:59.9,Hydra,1.53 1.19,85,12.52,23.34,E,,
IC 2587,G,10:30:59.60 -34:33:46.6,Antlia,1.98 1.47,36,12.35,23.56,E-S0,,
IC 2588,G,10:31:50.14 -30:23:04.3,Antlia,1.65 1.31,154,12.53,23.27,Sa,,
IC 2589,G,10:32:20.82 -24:02:15.2,Hydra,0.82 0.39,11,,22.21,Sb,,
IC 2590,G,10:36:16.58 +26:57:44.9,Leo,0.97 0.97,10,,23.43,S0,,
IC 2591,G,10:36:38.67 +35:03:10.5,Leo Minor,1.00 0.62,134,,22.98,SBc,,
IC 2592,Dup,10:35:08.28 -43:41:30.5,Vela, ,,,,,,
IC 2593,G,10:36:15.95 -12:43:32.9,Hydra,0.87 0.58,88,,23.93,S0-a,,
IC 2594,G,10:36:04.17 -24:19:23.1,Hydra,1.66 1.39,112,,23.34,E-S0,,
IC 2595,Other,10:37:33.12 -11:07:00.2,Sextans, ,,,,,,
IC 2596,G,10:34:12.46 -73:14:24.5,Carina,1.32 0.81,179,,22.89,Sab,,
IC 2597,G,10:37:47.45 -27:04:54.1,Hydra,2.62 1.73,8,11.68,23.86,E,,
IC 2598,G,10:39:42.33 +26:43:39.2,Leo Minor,0.66 0.39,152,,22.87,Sa,,
IC 2599,HII,10:37:27.09 -58:44:00.2,Carina,20.00 20.00,,,,,,
IC 2600,G,10:46:38.80 +72:19:13.6,Ursa Major,0.62 0.45,115,,23.29,,,
IC 2601,G,10:47:13.32 +72:19:22.9,Ursa Major,0.35 0.28,165,,,E,,
IC 2602,OCl,10:42:57.47 -64:23:39.1,Carina,48,,,,,,tet Car Cluster
IC 2603,Other,10:48:25.36 +32:55:38.3,Leo Minor, ,,,,,,
IC 2604,G,10:49:25.07 +32:46:21.8,Leo Minor,1.18 1.03,40,,23.74,SBm,,
IC 2605,Other,10:49:47.54 +32:58:23.5,Leo Minor,0.40 0.20,0,,,,,
IC 2606,G,10:50:17.65 +37:57:22.4,Leo Minor,1.07 0.40,112,,23.27,S0-a,,
IC 2607,G,10:50:18.94 +37:59:38.2,Leo Minor,0.75 0.48,63,,23.19,SBab,,
IC 2608,G,10:50:15.52 +32:46:05.4,Leo Minor,0.79 0.31,121,,22.99,SBc,,
IC 2609,Dup,10:50:17.98 -12:06:31.4,Hydra, ,,,,,,
IC 2610,Other,10:52:08.07 +33:04:59.4,Leo Minor, ,,,,,,
IC 2611,*,10:52:38.93 +10:08:10.9,Leo, ,,,,,,
IC 2612,G,10:53:37.16 +32:46:03.5,Leo Minor,0.82 0.56,108,,24.06,E-S0,,
IC 2613,Dup,10:49:50.11 +32:58:58.3,Leo Minor, ,,,,,,
IC 2614,G,11:01:33.80 +38:48:13.2,Ursa Major,0.24 0.24,16,,,SBab,,
IC 2615,G,11:02:02.28 +37:56:42.9,Ursa Major,0.38 0.34,80,,,S0-a,,
IC 2616,G,11:02:05.76 +38:47:14.1,Ursa Major,0.66 0.48,69,,23.39,E,,
IC 2617,G,11:02:07.63 +38:39:51.3,Ursa Major,0.89 0.45,97,,23.39,S0,,
IC 2618,**,11:01:58.82 +27:47:21.3,Leo Minor, ,,,,,,
IC 2619,G,11:02:15.26 +37:57:57.9,Ursa Major,0.33 0.22,67,,,E,,
IC 2620,G,11:02:23.95 +38:30:18.1,Ursa Major,1.04 0.94,110,14.22,23.88,S0-a,,
IC 2621,PN,11:00:19.99 -65:14:57.7,Carina,0.08,,11.2,,,,
IC 2622,Dup,11:02:59.67 -16:17:22.0,Crater, ,,,,,,
IC 2623,G,11:03:50.96 -20:05:35.0,Crater,1.06 0.73,64,13.5,23.32,E-S0,,
IC 2624,Dup,11:07:18.07 -19:28:17.6,Crater, ,,,,,,
IC 2625,Dup,11:07:19.12 -19:33:20.3,Crater, ,,,,,,
IC 2626,G,11:09:03.87 +26:54:15.0,Leo,0.77 0.34,50,,23.43,Sb,,
IC 2627,G,11:09:53.39 -23:43:33.4,Crater,2.40 1.70,43,12,23.04,SABc,,
IC 2628,G,11:11:37.87 +12:07:19.1,Leo,0.75 0.69,110,,23.81,SBa,,
IC 2629,G,11:12:36.94 +12:06:17.8,Leo,0.70 0.34,28,,23.84,Sa,,
IC 2630,*,11:12:43.19 +12:19:08.2,Leo, ,,,,,,
IC 2631,Neb,11:09:52.79 -76:36:51.5,Chamaeleon, ,,,,,,
IC 2632,G,11:13:05.94 +11:40:23.8,Leo,0.41 0.37,55,,23.95,E,,
IC 2633,G,11:13:10.04 +11:36:03.6,Leo,0.62 0.36,17,,23.79,Sc,,
IC 2634,G,11:13:28.25 +10:29:09.5,Leo,0.90 0.82,110,,23.52,Sb,,
IC 2635,**,11:13:29.81 +11:27:50.0,Leo, ,,,,,,
IC 2636,G,11:13:34.04 +11:27:22.2,Leo,0.67 0.37,73,,24.51,E,,
IC 2637,G,11:13:49.75 +09:35:10.7,Leo,0.97 0.86,62,14.17,22.73,E-S0,,
IC 2638,G,11:13:51.91 +10:33:48.2,Leo,0.97 0.65,100,,23.76,S0-a,,
IC 2639,G,11:13:55.54 +09:38:34.1,Leo,0.57 0.42,100,,23.93,S0,,
IC 2640,G,11:14:05.49 +10:59:51.6,Leo,0.43 0.35,105,,23.5,Sc,,
IC 2641,*,11:14:10.55 +09:23:57.6,Leo, ,,,,,,
IC 2642,Other,11:14:15.80 +12:15:56.4,Leo, ,,,,,,
IC 2643,*,11:14:26.56 +10:07:34.4,Leo, ,,,,,,
IC 2644,G,11:14:29.81 +10:46:06.5,Leo,0.61 0.36,76,,24.28,E,,
IC 2645,G,11:14:30.82 +11:53:12.4,Leo,0.79 0.29,92,,23.7,S0-a,,
IC 2646,G,11:14:37.60 +12:31:42.6,Leo,0.45 0.34,2,,23.7,Sc,,
IC 2647,*,11:14:38.62 +12:08:31.2,Leo, ,,,,,,
IC 2648,G,11:14:45.63 +10:13:29.4,Leo,0.58 0.46,16,,23.53,Sb,,
IC 2649,G,11:14:46.45 +11:07:39.7,Leo,0.85 0.74,74,,23.88,E,,
IC 2650,G,11:14:52.66 +13:51:08.9,Leo,0.48 0.43,21,,23.74,Sbc,,
IC 2651,G,11:14:52.28 +12:14:23.2,Leo,0.52 0.39,84,,23.48,Sb,,
IC 2652,G,11:14:52.32 +12:26:53.0,Leo,0.67 0.64,45,,24.31,E,,
IC 2653,**,11:14:53.83 +10:32:54.1,Leo, ,,,,,,
IC 2654,G,11:15:02.86 +12:29:58.1,Leo,0.41 0.35,93,,23.77,E,,
IC 2655,G,11:15:05.16 +12:09:51.8,Leo,0.36 0.30,68,,24.09,E,,
IC 2656,G,11:15:05.38 +12:22:44.9,Leo,0.64 0.30,128,,24.1,Sbc,,
IC 2657,G,11:15:08.71 +13:41:41.0,Leo,0.29 0.17,131,,,E,,
