IC_NGC_key,Type,Coordinates,Constellation,Axis,PosAng,V-Mag,SurfBr,Hubble,M,Common names
NGC 1915,*Ass,05:19:42.24 -66:49:17.5,Dorado,0.60 0.55,140,,,,,
NGC 1916,GCl,05:18:36.47 -69:24:24.5,Dorado,2.10 2.10,,10.38,,,,
NGC 1917,GCl,05:19:01.97 -68:59:56.3,Dorado,1.70 1.70,,12.33,,,,
NGC 1918,SNR,05:19:06.99 -69:39:44.8,Dorado,3.90 1.70,120,,,,,
NGC 1919,Neb,05:20:19.05 -66:53:28.1,Dorado,1.40 1.20,50,,,,,
NGC 1920,HII,05:20:33.50 -66:46:43.4,Dorado,1.20 1.10,100,12.54,,,,
NGC 1921,OCl,05:19:22.75 -69:47:15.9,Dorado,1.00 0.90,20,12.95,,,,
NGC 1922,OCl,05:19:48.92 -69:26:53.7,Dorado,1.00 0.90,30,11.51,,,,
NGC 1923,Cl+N,05:21:34.06 -65:29:12.2,Dorado,0.95 0.85,80,11.24,,,,
NGC 1924,G,05:28:01.93 -05:18:38.7,Orion,1.60 1.15,133,12.53,22.76,SBbc,,
NGC 1925,*Ass,05:21:43.96 -65:47:37.0,Dorado,6.00 6.00,,,,,,
NGC 1926,GCl,05:20:35.43 -69:31:31.0,Dorado,1.40 1.20,120,11.79,,,,
NGC 1927,Other,05:28:42.98 -08:22:38.4,Orion, ,,,,,,
NGC 1928,OCl,05:20:56.50 -69:28:40.6,Dorado,1.30 1.30,,12.47,,,,
NGC 1929,OCl,05:21:36.03 -67:54:43.4,Dorado,1.20 1.10,90,,,,,
NGC 1930,G,05:25:56.80 -46:43:42.5,Pictor,1.97 1.18,36,12.37,23.56,E-S0,,
NGC 1931,Cl+N,05:31:25.35 +34:14:47.6,Auriga,4.8,,10.1,,,,
NGC 1932,*,05:22:17.24 -66:09:15.6,Dorado, ,,13.8,,,,
NGC 1933,OCl,05:22:27.32 -66:09:07.8,Dorado,1.30 1.30,,13.8,,,,
NGC 1934,Cl+N,05:21:47.89 -67:56:13.8,Dorado,1.90 1.30,150,10.5,,,,
NGC 1935,HII,05:21:58.71 -67:57:26.6,Dorado,1.20 1.20,,,,,,
NGC 1936,EmN,05:22:13.96 -67:58:41.9,Dorado,1.00 1.00,,11.6,,,,
NGC 1937,*Ass,05:22:29.16 -67:53:40.8,Dorado,3.20 2.00,70,,,,,
NGC 1938,GCl,05:21:24.71 -69:56:21.8,Mensa,0.90 0.80,90,13.09,,,,
NGC 1939,GCl,05:21:26.61 -69:56:59.1,Mensa,1.40 1.30,80,11.83,,,,
NGC 1940,GCl,05:22:43.74 -67:11:11.6,Dorado,1.20 1.20,,11.91,,,,
NGC 1941,Cl+N,05:23:07.70 -66:22:43.1,Dorado,0.90 0.80,100,12,,,,
NGC 1942,OCl,05:24:44.54 -63:56:31.6,Dorado,1.90 1.90,,13.46,,,,
NGC 1943,GCl,05:22:28.74 -70:09:17.5,Mensa,1.10 1.00,140,11.88,,,,
NGC 1944,GCl,05:21:57.43 -72:29:38.7,Mensa,2.70 2.70,,11.84,,,,
NGC 1945,EmN,05:24:54.96 -66:27:26.9,Dorado,10.00 6.00,60,,,,,
NGC 1946,OCl,05:25:16.38 -66:23:40.4,Dorado,1.00 0.90,130,12.62,,,,
NGC 1947,G,05:26:47.61 -63:45:36.1,Dorado,3.48 3.18,89,10.47,23.11,E-S0,,
NGC 1948,Cl+N,05:25:46.24 -66:16:00.5,Dorado,7.00 5.70,30,10.61,,,,
NGC 1949,Neb,05:25:04.83 -68:28:21.1,Dorado,0.95 0.90,100,12.39,,,,
NGC 1950,OCl,05:24:32.99 -69:54:08.3,Mensa,1.70 1.70,,13.17,,,,
NGC 1951,OCl,05:26:06.82 -66:35:50.1,Dorado,1.70 1.50,20,10.58,,,,
NGC 1952,SNR,05:34:31.97 +22:00:52.1,Taurus,8.00 4.00,,8.4,,,1,Crab Nebula
NGC 1953,GCl,05:25:27.81 -68:50:17.9,Dorado,1.20 1.20,,11.74,,,,
NGC 1954,G,05:32:48.33 -14:03:46.0,Lepus,3.62 1.86,149,12.04,23.56,Sbc,,
NGC 1955,HII,05:26:09.96 -67:29:50.6,Dorado,4.00 3.60,20,8.87,,,,
NGC 1956,G,05:19:35.32 -77:43:43.2,Mensa,1.75 0.95,64,,23.68,Sa,,
NGC 1957,G,05:32:55.20 -14:07:59.3,Lepus,0.87 0.82,65,,23.28,E-S0,,
NGC 1958,GCl,05:25:30.52 -69:50:12.4,Dorado,1.50 1.50,,12.99,,,,
NGC 1959,OCl,05:25:36.63 -69:55:36.9,Mensa,1.60 1.60,,12.17,,,,
NGC 1960,OCl,05:36:17.74 +34:08:26.7,Auriga,7.2,,6,,,36,
NGC 1961,G,05:42:04.65 +69:22:42.4,Camelopardalis,4.42 3.10,85,11.54,23.47,SABb,,
NGC 1962,OCl,05:26:17.73 -68:50:15.5,Dorado,1.40 1.40,,11.47,,,,
NGC 1963,OCl,05:32:16.83 -36:23:55.1,Columba,6.3,,,,,,
NGC 1964,G,05:33:21.76 -21:56:44.8,Lepus,5.16 2.33,31,10.91,23.25,SABb,,
NGC 1965,OCl,05:26:31.26 -68:48:19.7,Dorado,1.20 1.10,,11.7,,,,
NGC 1966,OCl,05:26:45.84 -68:49:11.5,Dorado,1.10 1.00,30,11.83,,,,
NGC 1967,OCl,05:26:43.31 -69:06:05.5,Dorado,0.95 0.90,100,10.81,,,,
NGC 1968,*Ass,05:27:22.11 -67:27:49.8,Dorado,5.00 2.70,70,8.22,,,,
NGC 1969,OCl,05:26:32.36 -69:50:28.9,Dorado,1.20 1.20,,12.46,,,,
NGC 1970,OCl,05:26:52.67 -68:50:12.0,Dorado,1.50 1.50,,10.28,,,,
NGC 1971,OCl,05:26:45.24 -69:51:05.8,Dorado,1.10 0.95,0,11.9,,,,
NGC 1972,OCl,05:26:47.36 -69:50:18.0,Dorado,0.90 0.80,100,12.62,,,,
NGC 1973,Neb,05:35:04.78 -04:43:54.4,Orion,5.00 5.00,,,,,,
NGC 1974,OCl,05:27:59.02 -67:25:26.9,Dorado,1.60 1.60,,10.3,,,,
NGC 1975,Neb,05:35:17.88 -04:41:06.8,Orion,10.00 5.00,,,,,,
NGC 1976,Cl+N,05:35:16.48 -05:23:22.8,Orion,90.00 60.00,,4,,,42,"Great Orion Nebula,Orion Nebula"
NGC 1977,Cl+N,05:35:15.80 -04:50:39.6,Orion,10.2,,,,,,the Running Man Nebula
NGC 1978,GCl,05:28:45.13 -66:14:09.3,Dorado,4.00 2.70,160,10.7,,,,
NGC 1979,G,05:34:01.11 -23:18:36.3,Lepus,1.88 1.81,145,,23.04,E-S0,,
NGC 1980,Cl+N,05:35:25.99 -05:54:35.6,Orion,9.3,,2.5,,,,Lower Sword
NGC 1981,Cl+N,05:35:09.59 -04:25:30.2,Orion,9,,4.2,,,,Upper Sword
NGC 1982,HII,05:35:31.38 -05:16:02.9,Orion,20.00 15.00,,9,,,43,Mairan's Nebula
NGC 1983,OCl,05:27:44.25 -68:59:09.8,Dorado,4.00 3.00,150,,,,,
NGC 1984,OCl,05:27:40.91 -69:08:03.6,Dorado,1.50 1.20,60,9.99,,,,
NGC 1985,RfN,05:37:47.81 +31:59:19.8,Auriga,0.68 0.68,,,,,,
NGC 1986,GCl,05:27:38.08 -69:58:25.1,Mensa,2.80 2.40,140,11.07,,,,
NGC 1987,GCl,05:27:17.15 -70:44:14.5,Mensa,1.70 1.70,90,,,,,
NGC 1988,*,05:37:26.49 +21:13:05.7,Taurus, ,,,,,,
NGC 1989,G,05:34:23.42 -30:48:03.8,Columba,1.72 1.18,93,,24,E-S0,,
NGC 1990,*,05:36:12.82 -01:12:06.9,Orion, ,,1.69,,,,Alnilam
NGC 1991,Dup,05:27:59.02 -67:25:26.9,Dorado, ,,,,,,
NGC 1992,G,05:34:31.77 -30:53:49.2,Columba,1.22 0.69,51,,23.65,S0-a,,
NGC 1993,G,05:35:25.57 -17:48:55.1,Lepus,1.58 0.87,77,,23.33,E-S0,,
NGC 1994,OCl,05:28:21.77 -69:08:30.6,Dorado,1.60 1.50,170,,,,,
NGC 1995,**,05:33:03.34 -48:40:30.5,Pictor, ,,,,,,
NGC 1996,OCl,05:38:18.88 +25:49:23.4,Taurus,6,,,,,,
NGC 1997,OCl,05:30:34.70 -63:11:58.3,Dorado,1.80 1.80,,13.43,,,,
NGC 1998,G,05:33:15.76 -48:41:44.2,Pictor,0.95 0.47,16,,23.75,S0-a,,
NGC 1999,RfN,05:36:25.35 -06:42:57.1,Orion,2.00 2.00,,,,,,
NGC 2000,OCl,05:27:29.24 -71:52:45.8,Mensa,1.60 1.50,150,12.14,,,,
NGC 2001,*Ass,05:29:02.06 -68:46:09.4,Dorado,7.30 3.60,40,,,,,
NGC 2002,GCl,05:30:20.70 -66:53:06.0,Dorado,1.90 1.70,20,10.84,,,,
NGC 2003,GCl,05:30:55.20 -66:27:59.6,Dorado,1.70 1.40,70,11.3,,,,
NGC 2004,GCl,05:30:42.75 -67:17:11.2,Dorado,3.00 2.80,90,,,,,
NGC 2005,GCl,05:30:10.85 -69:45:08.7,Dorado,1.60 1.60,,11.57,,,,
NGC 2006,*Ass,05:31:21.00 -66:57:55.0,Dorado,1.60 1.40,140,10.88,,,,
NGC 2007,G,05:34:59.17 -50:55:18.1,Pictor,1.53 0.51,81,,23.63,SBc,,
NGC 2008,G,05:35:03.81 -50:58:00.4,Pictor,1.23 0.62,95,14,23.27,Sc,,
NGC 2009,OCl,05:30:59.16 -69:10:54.0,Dorado,1.40 1.20,10,11.02,,,,
NGC 2010,OCl,05:30:34.93 -70:49:10.8,Mensa,1.90 1.70,170,11.72,,,,
NGC 2011,OCl,05:32:20.21 -67:31:23.3,Dorado,1.00 1.00,,10.58,,,,
NGC 2012,G,05:22:35.35 -79:51:06.5,Mensa,1.29 0.76,113,12.97,23.29,E-S0,,
NGC 2013,OCl,05:44:01.67 +55:47:36.9,Auriga, ,,,,,,
NGC 2014,Neb,05:32:19.87 -67:41:23.4,Dorado,5.10 3.50,60,8.97,,,,
NGC 2015,*Ass,05:32:06.49 -69:14:34.9,Dorado,4.70 4.00,110,10.43,,,,
NGC 2016,OCl,05:31:38.82 -69:56:45.1,Mensa,1.80 1.80,,,,,,
NGC 2017,OCl,05:39:16.31 -17:50:54.6,Lepus,5,,,,,,
NGC 2018,HII,05:31:24.89 -71:04:08.6,Mensa,2.80 1.70,170,10.89,,,,
NGC 2019,GCl,05:31:56.66 -70:09:34.5,Mensa,1.50 1.50,,10.86,,,,
NGC 2020,EmN,05:33:12.59 -67:42:57.2,Dorado,3.20 2.90,50,,,,,
NGC 2021,OCl,05:33:30.67 -67:27:10.4,Dorado,0.90 0.90,,12.06,,,,
NGC 2022,PN,05:42:06.21 +09:05:11.5,Orion,0.32,,11.6,,,,
NGC 2023,RfN,05:41:38.39 -02:15:32.5,Orion,10.00 8.00,,,,,,
NGC 2024,Neb,05:41:42.57 -01:51:22.6,Orion,30.00 30.00,,,,,,
NGC 2025,OCl,05:32:33.64 -71:42:55.8,Mensa,1.90 1.90,,10.94,,,,
NGC 2026,OCl,05:43:10.15 +20:08:20.0,Taurus,4.2,,,,,,
NGC 2027,OCl,05:34:59.71 -66:54:58.7,Dorado,4.60 2.80,100,10.97,,,,
NGC 2028,OCl,05:33:48.57 -69:57:06.5,Mensa,1.10 1.00,60,12.88,,,,
NGC 2029,OCl,05:35:40.66 -66:02:06.0,Dorado,1.10 0.85,60,12.29,,,,
NGC 2030,HII,05:34:59.74 -67:33:22.9,Dorado,1.70 1.70,,12.29,,,,
NGC 2031,GCl,05:33:41.82 -70:59:12.4,Mensa,3.30 2.80,150,10.83,,,,
NGC 2032,HII,05:35:20.62 -67:34:06.4,Dorado,2.80 1.40,30,,,,,
NGC 2033,*Ass,05:34:30.70 -69:46:48.5,Dorado,5.90 4.60,10,11.63,,,,
NGC 2034,*Ass,05:35:32.77 -66:54:13.1,Dorado,4.50 3.20,,,,,,
NGC 2035,Neb,05:35:31.20 -67:35:03.0,Dorado,1.80 1.30,20,10.99,,,,
NGC 2036,OCl,05:34:31.39 -70:03:51.7,Mensa,1.60 1.60,,12.77,,,,
NGC 2037,OCl,05:35:00.63 -69:43:53.7,Dorado,2.90 1.30,170,10.31,,,,
NGC 2038,OCl,05:34:42.27 -70:33:46.6,Mensa,1.60 1.50,120,11.92,,,,
NGC 2039,Other,05:44:00.91 +08:41:27.8,Orion, ,,,,,,
NGC 2040,Neb,05:36:05.93 -67:34:06.8,Dorado,2.10 1.70,160,11.47,,,,
NGC 2041,GCl,05:36:28.05 -66:59:23.2,Dorado,2.60 2.60,,10.36,,,,
NGC 2042,OCl,05:36:09.58 -68:55:24.4,Dorado,4.50 4.50,,9.58,,,,
NGC 2043,OCl,05:35:57.18 -70:04:27.9,Mensa,0.65 0.55,120,,,,,
NGC 2044,*Ass,05:36:06.18 -69:11:55.2,Dorado,5.50 4.50,100,10.59,,,,
NGC 2045,*,05:45:01.30 +12:53:18.1,Taurus, ,,6.46,,,,
NGC 2046,OCl,05:35:37.53 -70:14:26.5,Mensa,1.10 1.00,110,12.64,,,,
NGC 2047,OCl,05:35:52.99 -70:11:33.6,Mensa,0.95 0.90,90,13.15,,,,
NGC 2048,EmN,05:35:55.59 -69:38:54.7,Dorado,1.40 1.00,100,12.17,,,,
NGC 2049,G,05:43:15.31 -30:04:42.2,Columba,2.14 0.97,167,,23.7,Sa,,
NGC 2050,*Ass,05:36:38.82 -69:23:00.7,Dorado,3.00 2.40,70,9.25,,,,
NGC 2051,OCl,05:36:07.34 -71:00:41.0,Mensa,1.50 1.50,,11.69,,,,
NGC 2052,Neb,05:37:11.05 -69:46:27.1,Dorado,18.00 12.00,,,,,,
NGC 2053,OCl,05:37:39.70 -67:24:46.5,Dorado,1.50 1.30,10,12.18,,,,
NGC 2054,Other,05:45:15.38 -10:04:59.3,Orion, ,,,,,,
NGC 2055,*Ass,05:36:44.73 -69:29:55.1,Dorado,1.90 1.30,120,8.39,,,,
NGC 2056,OCl,05:36:33.97 -70:40:18.8,Mensa,1.50 1.50,,11.77,,,,
NGC 2057,OCl,05:36:55.14 -70:16:08.2,Mensa,1.30 1.20,20,12.17,,,,
NGC 2058,OCl,05:36:54.22 -70:09:44.1,Mensa,2.10 2.10,,11.85,,,,
NGC 2059,OCl,05:37:00.55 -70:07:44.5,Mensa,1.10 1.00,170,12.85,,,,
NGC 2060,SNR,05:37:46.90 -69:10:18.0,Dorado,2.20 2.00,160,9.59,,,,
NGC 2061,OCl,05:42:41.77 -34:00:34.3,Columba, ,,,,,,
NGC 2062,OCl,05:40:02.70 -66:52:32.7,Dorado,1.20 1.10,20,12.67,,,,
NGC 2063,Other,05:46:43.03 +08:46:52.0,Orion, ,,,,,,
NGC 2064,RfN,05:46:18.39 +00:00:21.4,Orion,10.00 10.00,,,,,,
NGC 2065,OCl,05:37:38.42 -70:14:11.3,Mensa,2.30 2.30,,11.24,,,,
NGC 2066,OCl,05:37:43.12 -70:09:59.6,Mensa,1.00 0.90,140,13.1,,,,
NGC 2067,RfN,05:46:31.88 +00:07:52.5,Orion,8.00 3.00,,,,,,
NGC 2068,RfN,05:46:45.82 +00:04:45.5,Orion,4.5,,8,,,78,
NGC 2069,Neb,05:38:46.44 -68:58:27.8,Dorado,5.00 2.20,30,10.1,,,,
NGC 2070,HII,05:38:42.36 -69:06:03.2,Dorado,16.00 16.00,,7.25,,,,"30 Dor Cluster,Tarantula Nebula"
NGC 2071,Cl+N,05:47:07.26 +00:17:39.3,Orion,7.00 5.00,,,,,,
NGC 2072,OCl,05:38:24.39 -70:14:02.6,Mensa,1.00 0.90,110,13.21,,,,
NGC 2073,G,05:45:53.91 -21:59:56.9,Lepus,1.44 1.38,110,,23,E-S0,,
NGC 2074,Cl+N,05:39:03.58 -69:29:53.2,Dorado,4.00 3.40,50,,,,,
NGC 2075,Cl+N,05:38:21.35 -70:41:06.1,Mensa,2.20 1.80,30,11.47,,,,
NGC 2076,G,05:46:47.46 -16:46:57.4,Lepus,2.52 1.50,44,12.93,24.63,S0-a,,
NGC 2077,Neb,05:39:36.02 -69:39:25.6,Dorado,1.30 1.30,,11.71,,,,
NGC 2078,EmN,05:39:39.45 -69:44:35.4,Dorado,1.20 1.10,0,10.89,,,,
NGC 2079,HII,05:39:37.60 -69:45:25.9,Dorado,1.10 0.95,160,11.81,,,,
NGC 2080,HII,05:39:45.82 -69:38:38.8,Dorado,1.70 1.50,130,10.42,,,,
NGC 2081,Cl+N,05:39:59.39 -69:24:21.2,Dorado,8.50 6.00,70,,,,,
NGC 2082,G,05:41:51.12 -64:18:04.1,Dorado,2.06 1.86,50,12.19,22.97,SBb,,
NGC 2083,Neb,05:39:59.22 -69:44:15.3,Dorado,2.00 1.80,70,10.83,,,,
NGC 2084,Neb,05:40:07.00 -69:45:33.9,Dorado,1.70 1.20,40,,,,,
NGC 2085,Neb,05:40:09.83 -69:40:22.1,Dorado,0.95 0.95,,12.06,,,,
NGC 2086,Neb,05:40:12.88 -69:40:04.3,Dorado,0.85 0.80,70,12,,,,
NGC 2087,G,05:44:16.03 -55:31:56.8,Pictor,0.81 0.59,133,,22.81,SBa,,
NGC 2088,OCl,05:40:59.81 -68:27:55.3,Dorado,1.50 1.40,10,12.47,,,,
NGC 2089,G,05:47:51.43 -17:36:08.6,Lepus,2.20 1.08,42,,23.45,E-S0,,
NGC 2090,G,05:47:01.89 -34:15:02.2,Columba,4.47 1.67,17,10.92,22.69,Sc,,
NGC 2091,OCl,05:40:58.04 -69:26:13.5,Dorado,1.30 1.20,80,12.07,,,,
NGC 2092,OCl,05:41:22.00 -69:13:27.2,Dorado,1.00 0.90,90,,,,,
NGC 2093,*Ass,05:41:49.74 -68:55:17.1,Dorado,1.50 1.30,170,11.57,,,,
NGC 2094,OCl,05:42:08.85 -68:21:49.6,Dorado,0.85 0.75,10,12.8,,,,
NGC 2095,OCl,05:42:36.16 -67:19:08.0,Dorado,1.50 1.40,140,13.09,,,,
NGC 2096,OCl,05:42:17.80 -68:27:31.0,Dorado,1.10 0.90,160,11.31,,,,
NGC 2097,GCl,05:44:16.02 -62:47:08.2,Dorado,1.90 1.90,,13.67,,,,
NGC 2098,OCl,05:42:31.03 -68:16:23.4,Dorado,2.20 2.00,140,10.73,,,,
NGC 2099,OCl,05:52:18.35 +32:33:10.8,Auriga,11.4,,5.6,,,37,
NGC 2100,GCl,05:42:09.07 -69:12:42.6,Dorado,2.50 2.50,,,,,,
NGC 2101,G,05:46:24.17 -52:05:18.7,Pictor,1.24 0.65,94,13.27,22.48,IB,,
NGC 2102,OCl,05:42:20.49 -69:29:13.5,Dorado,0.85 0.85,,11.44,,,,
NGC 2103,HII,05:41:40.35 -71:19:59.3,Mensa,4.00 3.50,40,10.82,,,,
NGC 2104,G,05:47:04.73 -51:33:10.5,Pictor,2.12 0.91,162,12.73,22.83,SBm,,
NGC 2105,GCl,05:44:19.18 -66:55:03.4,Dorado,1.70 1.50,160,12.19,,,,
NGC 2106,G,05:50:46.63 -21:34:02.1,Lepus,2.43 1.22,106,,23.77,S0,,
NGC 2107,OCl,05:43:12.88 -70:38:23.8,Mensa,1.70 1.70,,11.51,,,,
NGC 2108,GCl,05:43:56.87 -69:10:55.6,Dorado,1.80 1.80,,12.32,,,,
NGC 2109,OCl,05:44:22.92 -68:32:52.1,Dorado,1.60 1.60,,12.21,,,,
NGC 2110,G,05:52:11.38 -07:27:22.4,Orion,1.83 1.45,175,13.51,23.56,E-S0,,
NGC 2111,OCl,05:44:32.99 -70:59:35.7,Mensa,1.50 1.40,60,12.45,,,,
NGC 2112,OCl,05:53:45.21 +00:24:38.9,Orion,21,,9.1,,,,
NGC 2113,Cl+N,05:45:24.57 -69:46:27.0,Dorado,1.10 1.10,,,,,,
NGC 2114,OCl,05:46:12.11 -68:02:53.9,Dorado,1.40 1.20,30,12.48,,,,
NGC 2115,GPair,05:51:20.70 -50:35:15.0,Pictor,1.33,,,,,,
NGC 2115A,G,05:51:19.82 -50:34:58.3,Pictor,1.21 1.06,59,,23.45,E,,
NGC 2115B,G,05:51:21.21 -50:35:33.0,Pictor,0.57 0.47,43,,23.56,S0-a,,
NGC 2116,OCl,05:47:15.16 -68:30:28.6,Dorado,1.20 1.10,160,12.92,,,,
NGC 2117,OCl,05:47:45.92 -67:27:00.6,Dorado,2.00 1.80,90,11.65,,,,
NGC 2118,OCl,05:47:39.57 -69:07:54.6,Dorado,1.60 1.60,,13.38,,,,
NGC 2119,G,05:57:26.95 +11:56:57.1,Orion,1.26 0.99,145,,24.36,E,,
NGC 2120,GCl,05:50:34.61 -63:40:39.4,Dorado,2.20 2.20,,12.67,,,,
NGC 2121,GCl,05:48:12.84 -71:28:47.2,Mensa,2.70 2.20,30,12.37,,,,
NGC 2122,Cl+N,05:48:52.51 -70:04:12.3,Mensa,6.00 5.00,50,10.43,,,,
NGC 2123,GCl,05:51:43.32 -65:19:17.3,Dorado,1.50 1.50,,12.56,,,,
NGC 2124,G,05:57:52.23 -20:05:04.7,Lepus,2.84 0.81,4,,23.58,Sb,,
NGC 2125,OCl,05:50:54.23 -69:28:44.9,Dorado,1.10 1.10,,,,,,
NGC 2126,OCl,06:02:32.98 +49:51:57.3,Auriga,5.4,,,,,,
NGC 2127,OCl,05:51:21.28 -69:21:32.6,Dorado,1.50 1.50,,11.64,,,,
NGC 2128,G,06:04:34.23 +57:37:39.9,Camelopardalis,1.44 1.01,63,,23.17,E-S0,,
NGC 2129,OCl,06:01:06.54 +23:19:19.8,Gemini,3.9,,6.7,,,,
NGC 2130,GCl,05:52:23.72 -67:20:02.8,Dorado,1.40 1.30,160,12.1,,,,
NGC 2131,G,05:58:47.52 -26:39:10.8,Lepus,1.16 0.49,119,,22.89,IB,,
NGC 2132,OCl,05:55:44.32 -59:55:39.8,Pictor,7.8,,,,,,
NGC 2133,OCl,05:51:28.72 -71:10:30.1,Mensa,1.60 1.60,,,,,,
NGC 2134,GCl,05:51:57.70 -71:05:51.3,Mensa,2.80 2.80,,,,,,
NGC 2135,GCl,05:53:35.43 -67:25:46.3,Dorado,1.50 1.50,,12.05,,,,
NGC 2136,GCl,05:52:57.75 -69:29:33.9,Dorado,2.80 2.50,140,10.7,,,,
NGC 2137,OCl,05:53:13.15 -69:28:55.1,Dorado,1.10 1.00,30,12.66,,,,
NGC 2138,GCl,05:54:50.18 -65:50:13.6,Dorado,1.20 1.20,,13.76,,,,
NGC 2139,G,06:01:07.81 -23:40:21.5,Lepus,2.94 2.16,124,11.66,22.8,Sc,,
NGC 2140,OCl,05:54:16.18 -68:35:59.4,Dorado,1.50 1.50,,12.44,,,,
NGC 2141,OCl,06:02:55.06 +10:26:47.3,Orion,5.4,,9.4,,,,
NGC 2142,*,06:01:50.43 -10:35:52.6,Monoceros, ,,4.94,,,,
NGC 2143,OCl,06:03:01.56 +05:49:52.6,Orion,6.9,,,,,,
NGC 2144,G,05:40:57.19 -82:07:09.8,Mensa,1.46 1.15,86,,23.32,Sa,,
NGC 2145,OCl,05:54:23.06 -70:54:03.7,Mensa,1.50 1.50,,12.07,,,,
NGC 2146,G,06:18:37.71 +78:21:25.3,Camelopardalis,5.31 4.32,123,10.69,22.76,SBab,,
NGC 2146A,G,06:23:55.20 +78:31:48.4,Camelopardalis,2.72 1.10,32,12.89,23.68,SABc,,
NGC 2147,OCl,05:55:45.60 -68:12:05.7,Dorado,0.95 0.95,,12.94,,,,
NGC 2148,G,05:58:45.85 -59:07:33.4,Pictor,1.17 0.82,157,,23.35,Sb,,
NGC 2149,RfN,06:03:30.79 -09:43:50.1,Monoceros,3.00 2.00,,,,,,
NGC 2150,G,05:55:46.34 -69:33:38.9,Dorado,1.15 0.61,130,13.03,22.3,Sab,,
NGC 2151,OCl,05:56:20.44 -69:01:02.5,Dorado,1.30 1.30,,,,,,
NGC 2152,G,06:00:55.29 -50:44:27.3,Pictor,1.12 0.77,71,,23.48,SBa,,
NGC 2153,GCl,05:57:51.72 -66:24:02.4,Dorado,1.50 1.50,,13.05,,,,
NGC 2154,GCl,05:57:37.49 -67:15:49.6,Dorado,2.40 2.40,,11.79,,,,
NGC 2155,GCl,05:58:33.21 -65:28:35.3,Dorado,2.40 2.40,,12.6,,,,
NGC 2156,GCl,05:57:49.68 -68:27:38.9,Dorado,2.10 2.10,,11.38,,,,
NGC 2157,GCl,05:57:34.78 -69:11:50.0,Dorado,2.80 2.80,,10.16,,,,
NGC 2158,OCl,06:07:25.61 +24:05:46.2,Gemini,8.4,,8.6,,,,
NGC 2159,GCl,05:58:03.88 -68:37:22.5,Dorado,1.90 1.90,,11.38,,,,
NGC 2160,OCl,05:58:12.84 -68:17:22.5,Dorado,1.40 1.40,,12.16,,,,
NGC 2161,GCl,05:55:43.06 -74:21:14.2,Mensa,2.30 2.30,,12.95,,,,
NGC 2162,GCl,06:00:30.17 -63:43:17.2,Dorado,3.00 3.00,,12.7,,,,
NGC 2163,RfN,06:07:49.54 +18:39:26.8,Orion,3.00 2.00,,,,,,
NGC 2164,GCl,05:58:56.26 -68:30:57.2,Dorado,2.80 2.80,,10.34,,,,
NGC 2165,OCl,06:11:04.21 +51:40:38.3,Auriga, ,,,,,,
NGC 2166,OCl,05:59:34.14 -67:56:32.4,Dorado,1.40 1.40,,12.86,,,,
NGC 2167,*,06:06:58.56 -06:12:09.5,Monoceros, ,,6.58,,,,
NGC 2168,OCl,06:09:05.06 +24:20:19.1,Gemini,24,,5.1,,,35,
NGC 2169,OCl,06:08:24.35 +13:57:53.5,Orion,7.2,,5.9,,,,
NGC 2170,RfN,06:07:31.82 -06:23:57.5,Monoceros,2.00 2.00,,,,,,
NGC 2171,Other,05:58:59.64 -70:43:08.8,Mensa, ,,,,,,
NGC 2172,OCl,06:00:05.84 -68:38:12.9,Dorado,1.70 1.70,,11.75,,,,
NGC 2173,GCl,05:57:58.88 -72:58:28.3,Mensa,2.60 2.60,,11.88,,,,
NGC 2174,Neb,06:09:23.62 +20:39:34.5,Orion,40.00 30.00,,,,,,Monkey Head Nebula
NGC 2175,Cl+N,06:09:39.55 +20:29:15.3,Orion,5.4,,6.8,,,,
NGC 2176,OCl,06:01:19.38 -66:51:11.7,Dorado,1.10 1.00,20,,,,,
NGC 2177,OCl,06:01:16.49 -67:43:59.7,Dorado,1.50 1.40,160,12.83,,,,
NGC 2178,G,06:02:47.58 -63:45:49.3,Pictor,1.27 1.00,73,,23.07,E,,
NGC 2179,G,06:08:02.22 -21:44:48.1,Lepus,1.99 1.44,165,12.35,23.39,S0-a,,
NGC 2180,OCl,06:09:36.25 +04:42:41.8,Orion,4.2,,,,,,
NGC 2181,GCl,06:02:43.66 -65:15:53.5,Dorado,1.50 1.50,,13.64,,,,
NGC 2182,RfN,06:09:30.95 -06:19:35.2,Monoceros,3.00 2.00,,,,,,
NGC 2183,HII,06:10:46.93 -06:12:42.6,Monoceros,12,,,,,,
NGC 2184,OCl,06:10:59.67 -03:29:42.6,Orion,6.6,,,,,,
NGC 2185,Neb,06:11:00.47 -06:13:36.7,Monoceros,2.00 2.00,,,,,,
NGC 2186,OCl,06:12:07.13 +05:27:30.9,Orion,4.2,,8.7,,,,
NGC 2187,GPair,06:03:48.50 -69:35:00.0,Dorado,3.33,,,,,,
NGC 2187A,G,06:03:44.25 -69:35:17.9,Dorado,3.52 1.66,75,,24.34,S0-a,,
NGC 2187B,G,06:03:52.42 -69:34:38.8,Dorado,2.67 2.18,87,,24.28,E,,
NGC 2188,G,06:10:09.53 -34:06:22.3,Columba,5.42 1.33,177,11.67,23.26,SBm,,
NGC 2189,Other,06:12:09.99 +01:03:57.5,Orion, ,,,,,,
